Company,Link
'2wayferries',http://www.ferry-site.dk/ferrycompany.php?Rid=315&lang=en
'A-Ships Management',http://www.ferry-site.dk/ferrycompany.php?Rid=377&lang=en
'A.N.E.S.',http://www.ferry-site.dk/ferrycompany.php?Rid=251&lang=en
'Adria Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=211&lang=en
'Aegean Speed Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=218&lang=en
'Africa Morocco Links',http://www.ferry-site.dk/ferrycompany.php?Rid=329&lang=en
'Agersø & Omø færgerne',http://www.ferry-site.dk/ferrycompany.php?Rid=275&lang=en
'Alaska Marine Highway System',http://www.ferry-site.dk/ferrycompany.php?Rid=373&lang=en
'Algerie Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=214&lang=en
'Alslinjen',http://www.ferry-site.dk/ferrycompany.php?Rid=343&lang=en
'Anek Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=2&lang=en
'AnRussTrans',http://www.ferry-site.dk/ferrycompany.php?Rid=295&lang=en
'Arab Bridge Maritime',http://www.ferry-site.dk/ferrycompany.php?Rid=227&lang=en
'Assens - Baagø Færgen',http://www.ferry-site.dk/ferrycompany.php?Rid=242&lang=en
'Baja Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=291&lang=en
'Balearia',http://www.ferry-site.dk/ferrycompany.php?Rid=176&lang=en
'Barsøfærgen',http://www.ferry-site.dk/ferrycompany.php?Rid=381&lang=en
'Bastø Fosen',http://www.ferry-site.dk/ferrycompany.php?Rid=3&lang=en
'Bay Ferries & Northumberland Ferris',http://www.ferry-site.dk/ferrycompany.php?Rid=161&lang=en
'BC Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=243&lang=en
'Blue Star Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=4&lang=en
'Bluebridge',http://www.ferry-site.dk/ferrycompany.php?Rid=323&lang=en
'Bluferries',http://www.ferry-site.dk/ferrycompany.php?Rid=318&lang=en
'BluNavy',http://www.ferry-site.dk/ferrycompany.php?Rid=296&lang=en
'Boreal Sjø',http://www.ferry-site.dk/ferrycompany.php?Rid=365&lang=en
'Bornholmslinjen',http://www.ferry-site.dk/ferrycompany.php?Rid=332&lang=en
'Brevik Fergeselskap',http://www.ferry-site.dk/ferrycompany.php?Rid=370&lang=en
'Brittany Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=6&lang=en
'Buquebus',http://www.ferry-site.dk/ferrycompany.php?Rid=8&lang=en
'Caledonian MacBrayne',http://www.ferry-site.dk/ferrycompany.php?Rid=9&lang=en
'Canary Bridge Seaways',http://www.ferry-site.dk/ferrycompany.php?Rid=351&lang=en
'Caremar',http://www.ferry-site.dk/ferrycompany.php?Rid=238&lang=en
'Caronte & Tourist',http://www.ferry-site.dk/ferrycompany.php?Rid=188&lang=en
'Cenk Group',http://www.ferry-site.dk/ferrycompany.php?Rid=376&lang=en
'CLdN & Cobelfret Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=186&lang=en
'Colonia Express',http://www.ferry-site.dk/ferrycompany.php?Rid=359&lang=en
'Color Line',http://www.ferry-site.dk/ferrycompany.php?Rid=10&lang=en
'Condor Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=15&lang=en
'Conferry',http://www.ferry-site.dk/ferrycompany.php?Rid=301&lang=en
'Corsica Ferries / Sardinia Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=16&lang=en
'Corsica linea',http://www.ferry-site.dk/ferrycompany.php?Rid=325&lang=en
'CoTuNav (Tunisia ferries)',http://www.ferry-site.dk/ferrycompany.php?Rid=17&lang=en
'Delcomar',http://www.ferry-site.dk/ferrycompany.php?Rid=305&lang=en
'Destination Gotland',http://www.ferry-site.dk/ferrycompany.php?Rid=19&lang=en
'DFDS',http://www.ferry-site.dk/ferrycompany.php?Rid=358&lang=en
'Eckerö Line',http://www.ferry-site.dk/ferrycompany.php?Rid=21&lang=en
'Eckerö Linjen',http://www.ferry-site.dk/ferrycompany.php?Rid=22&lang=en
'Egholmfærgen',http://www.ferry-site.dk/ferrycompany.php?Rid=241&lang=en
'Endelave Færgefart',http://www.ferry-site.dk/ferrycompany.php?Rid=269&lang=en
'Fanølinjen',http://www.ferry-site.dk/ferrycompany.php?Rid=344&lang=en
'Fast Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=333&lang=en
'Finbo Cargo',http://www.ferry-site.dk/ferrycompany.php?Rid=355&lang=en
'Finnlines',http://www.ferry-site.dk/ferrycompany.php?Rid=26&lang=en
'FinnLink',http://www.ferry-site.dk/ferrycompany.php?Rid=27&lang=en
'Fjord Line',http://www.ferry-site.dk/ferrycompany.php?Rid=30&lang=en
'Fjord1',http://www.ferry-site.dk/ferrycompany.php?Rid=335&lang=en
'ForSea Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=347&lang=en
'FosenNamsos Sjø',http://www.ferry-site.dk/ferrycompany.php?Rid=366&lang=en
