Ship,BuildingYear,BuildingYard,Owner,Operator,Length,Breadth,Draft,GT,Mashinery,Flag,Notes
'M/F Achaeos','2006 ','Dimitrios Koutalis Shipyard, Greece ','Achaeos Ferries Maritime Co','Saronic Ferries','87,7 m','16,0 m','3,5 m','4.307','4 * Caterpillar 3521B','Greece','-'
'M/F Ano Chora II','2004 ','Medra Ltd., Greece ','Eyaggelistria Naytiki Etaireia Rioy- Evagelistria','2wayferries','102,5 m','19,4 m','2,65 m','2.110','4 * Caterpillar 3512B','Greece','-'
'M/F Apollon Hellas','1990 ','"Proteus" Z. Vassiliadis Bros. Nafpigiki Ltd., Greece (#44)','Apollon Ferries Maritime','Saronic Ferries','91,8 m','14,5 m','3,5 m','1.821','2 * MAN B&W 16U28L','Greece','-'
'M/F Ionas','1989 ','North East Shipbuilders, Sunderland, UK (#3008)','Ionas Shipholding Co. Ltd.','2wayferries','95,0 m','15,27 m','3,5 m','4.296 / 4.092','10 * Cummins NTA-855-G2 (1989-2004)','Greece','-'
'M/F Posidon Hellas','1998 ','Kanellos, Greece ','Poseidon Ferries Maritime Co.','Saronic Ferries','87,3 m','13,7 m','4,2 m','1.802','2 * Wärtsilä 12V200','Greece','-'
'M/F Galaxy','1979 ','Stocznia Szczecinska, Poland (#B490/02)','Galaxy Maritime SA','A-Ships Management','127,63 m','19,45 m','5,42 m','10.553','4 * Zgoda-Sulzer GZL 40/48','Cyprus','-'
'M/F Agios Nektarios Aiginas','1999 ','Ergoship, Savas Shipyard, Greece ','Anes Lines','A.N.E.S.','75,7 m','14,4 m','3,0 m','1.500','2 * MWM','Greece','-'
'M/F Proteus','1973 ','G. Koronaios Bros. Ltd., Greece (#107)','ANES','A.N.E.S.','87,91 m','13,42 m','3,81 m','1.160','2 * MWM','Greece','-'
'M/F Symi','1974 ','D. Kamitsis & Co., Greece (#119)','Aegean Shipping Co.','A.N.E.S.','61,32 m','10,01 m','2,6 m','746 / 1.788','2 * MWM 441 V12','Greece','-'
'M/F AF Claudia','2001 ','Visentini Trasporti, Italy (#195)','Adria Ferries Spa','Adria Ferries','186,0 m','25,6 m','6,5 m','24.418','2 * MAN-B&W 9L48/60','Italy','-'
'M/F AF Francesca','1979 / 1988','Italcantieri S.p.A., Italy (#4352)','Adria Ferries Spa.','Adria Ferries','136,0 m / 147,99 m','23,04 m','5,82 m','9.485 / 12.413 / 19.811','2 * GMT A420.16V','Italy','-'
'M/F AF Marina','1994 / 1996','Cantieri Visentini, Italy (#163)','Adria Ferries Spa.','Adria Ferries','166,2 m','22,0 m','5,8 m','13.885 / 14.169','Sulzer 16ZAV40S','Italy','-'
'HSC Speedrunner III','1999 ','Fincantieri, Italy (#6003)','Torania Shipping Co. Ltd.','Aegean Speed Lines','100,0 m','17,1 m','2,75 m','4.463','4 * Ruston 20RK270','Greece','-'
'M/F Morocco Star','1980 / 2000 / 2016','Nakskov Skibsværft A/S, Denmark (#223)','Africa Morocco Links SA','Africa Morocco Links','152,2 m','23,7 m','6,0 m / 5,2 m','16.071','B&W/Alpha 16U28LU (1980-2004)','Morocco','-'
'M/F Morocco Sun','1980 ','Harland & Wolff, Northern Ireland (#1713)','Detroit World Logistic Maritime','Africa Morocco Links','129,65 m','21,62 m','4,84 m','12.175','2 * Pielstick 16PC2V','Morocco','-'
'M/F Agersø III','2012 ','Søby Værft A/S, Denmark (#106)','Slagelse Kommune','Agersø & Omø færgerne','38,4 m','11,5 m','3,4 m','406','2 * Scania DI16 42M','Denmark','-'
'M/F Omø','2004 ','Assens Skibsværft, Denmark (#328)','Slagelse Kommune','Agersø & Omø færgerne','37,3 m','11,92 m','2,0 m','499','2 * Volvo Penta D12','Denmark','-'
'M/F Aurora','1977 ','Peterson Builders, USA (#9335)','Alaska State','Alaska Marine Highway System','71,91 m','16,86 m','4,17 m','3.124','2 * GM La Grange','United States of America','-'
'M/F Columbia','1974 ','Lockheed Shipbuilding & Construction, USA (#142)','Alaska State','Alaska Marine Highway System','127,41 m','25,95 m','5,33 m','13.009','2 * Enterprise DMRV-16-4','United States of America','-'
'M/F Hubbard','2021 ','Vigor Shipyard, USA ','Alaska State','Alaska Marine Highway System','85,34 m','20,42 m','4,24 m','5.516','2 * EMD 12-710G7CT3','United States of America','Delivery in 2021.'
'M/F Kennicott','1998 ','Halter Marine Group, USA (#1510)','Alaska State','Alaska Marine Highway System','115,82 m','25,91 m','5,33 m','12.635','2 * Wärtsilä 12V32 LNE','United States of America','-'
