company,link
2wayferries,ferrycompany.php?Rid=315&lang=en
A-Ships Management,ferrycompany.php?Rid=377&lang=en
A.N.E.S.,ferrycompany.php?Rid=251&lang=en
Adria Ferries,ferrycompany.php?Rid=211&lang=en
Aegean Speed Lines,ferrycompany.php?Rid=218&lang=en
Africa Morocco Links,ferrycompany.php?Rid=329&lang=en
Agersø & Omø færgerne,ferrycompany.php?Rid=275&lang=en
Alaska Marine Highway System,ferrycompany.php?Rid=373&lang=en
Algerie Ferries,ferrycompany.php?Rid=214&lang=en
Alslinjen,ferrycompany.php?Rid=343&lang=en
Anek Lines,ferrycompany.php?Rid=2&lang=en
AnRussTrans,ferrycompany.php?Rid=295&lang=en
Arab Bridge Maritime,ferrycompany.php?Rid=227&lang=en
Assens - Baagø Færgen,ferrycompany.php?Rid=242&lang=en
Baja Ferries,ferrycompany.php?Rid=291&lang=en
Balearia,ferrycompany.php?Rid=176&lang=en
Barsøfærgen,ferrycompany.php?Rid=381&lang=en
Bastø Fosen,ferrycompany.php?Rid=3&lang=en
Bay Ferries & Northumberland Ferris,ferrycompany.php?Rid=161&lang=en
BC Ferries,ferrycompany.php?Rid=243&lang=en
Blue Star Ferries,ferrycompany.php?Rid=4&lang=en
Bluebridge,ferrycompany.php?Rid=323&lang=en
Bluferries,ferrycompany.php?Rid=318&lang=en
BluNavy,ferrycompany.php?Rid=296&lang=en
Boreal Sjø,ferrycompany.php?Rid=365&lang=en
Bornholmslinjen,ferrycompany.php?Rid=332&lang=en
Brevik Fergeselskap,ferrycompany.php?Rid=370&lang=en
Brittany Ferries,ferrycompany.php?Rid=6&lang=en
Buquebus,ferrycompany.php?Rid=8&lang=en
Caledonian MacBrayne,ferrycompany.php?Rid=9&lang=en
Canary Bridge Seaways,ferrycompany.php?Rid=351&lang=en
Caremar,ferrycompany.php?Rid=238&lang=en
Caronte & Tourist,ferrycompany.php?Rid=188&lang=en
Cenk Group,ferrycompany.php?Rid=376&lang=en
CLdN & Cobelfret Ferries,ferrycompany.php?Rid=186&lang=en
Colonia Express,ferrycompany.php?Rid=359&lang=en
Color Line,ferrycompany.php?Rid=10&lang=en
Condor Ferries,ferrycompany.php?Rid=15&lang=en
Conferry,ferrycompany.php?Rid=301&lang=en
Corsica Ferries / Sardinia Ferries,ferrycompany.php?Rid=16&lang=en
Corsica linea,ferrycompany.php?Rid=325&lang=en
CoTuNav (Tunisia ferries),ferrycompany.php?Rid=17&lang=en
Delcomar,ferrycompany.php?Rid=305&lang=en
Destination Gotland,ferrycompany.php?Rid=19&lang=en
DFDS,ferrycompany.php?Rid=358&lang=en
Eckerö Line,ferrycompany.php?Rid=21&lang=en
Eckerö Linjen,ferrycompany.php?Rid=22&lang=en
Egholmfærgen,ferrycompany.php?Rid=241&lang=en
Endelave Færgefart,ferrycompany.php?Rid=269&lang=en
Fanølinjen,ferrycompany.php?Rid=344&lang=en
Fast Ferries,ferrycompany.php?Rid=333&lang=en
Finbo Cargo,ferrycompany.php?Rid=355&lang=en
Finnlines,ferrycompany.php?Rid=26&lang=en
FinnLink,ferrycompany.php?Rid=27&lang=en
Fjord Line,ferrycompany.php?Rid=30&lang=en
Fjord1,ferrycompany.php?Rid=335&lang=en
ForSea Ferries,ferrycompany.php?Rid=347&lang=en
FosenNamsos Sjø,ferrycompany.php?Rid=366&lang=en
FRS Baltic,ferrycompany.php?Rid=363&lang=en
FRS Elbfähre,ferrycompany.php?Rid=368&lang=en
FRS Iberia,ferrycompany.php?Rid=208&lang=en
FRS Syltfähre,ferrycompany.php?Rid=367&lang=en
Fursund Færgeri,ferrycompany.php?Rid=267&lang=en
Færgefarten Orø-Holbæk,ferrycompany.php?Rid=247&lang=en
Færgeselskabet Læsø,ferrycompany.php?Rid=53&lang=en
Golden Star Ferries,ferrycompany.php?Rid=342&lang=en
Gozo Channel Line,ferrycompany.php?Rid=31&lang=en
Grandi Navi Veloci,ferrycompany.php?Rid=34&lang=en
Grenaa Anholt Færgefart,ferrycompany.php?Rid=33&lang=en
Grimaldi Lines,ferrycompany.php?Rid=280&lang=en
Hals-Egense Færgefart,ferrycompany.php?Rid=240&lang=en
Hansa Destinations,ferrycompany.php?Rid=379&lang=en
Hardeshøj-Ballebro Færgefart,ferrycompany.php?Rid=37&lang=en
Hellenic Seaways,ferrycompany.php?Rid=197&lang=en
Holland Norway Lines,ferrycompany.php?Rid=382&lang=en
Hundested-Rørvig Færgefart,ferrycompany.php?Rid=245&lang=en
Hurtigruten,ferrycompany.php?Rid=43&lang=en
Hvalpsund-Sundsøre Færgefart,ferrycompany.php?Rid=263&lang=en
Ichnusa Lines,ferrycompany.php?Rid=378&lang=en
Inter Shipping,ferrycompany.php?Rid=311&lang=en
Interislander,ferrycompany.php?Rid=210&lang=en
Irish Ferries,ferrycompany.php?Rid=45&lang=en
Isle of Man Steam Packet Company,ferrycompany.php?Rid=46&lang=en
Jadrolinija,ferrycompany.php?Rid=194&lang=en
Kerkyra Lines,ferrycompany.php?Rid=205&lang=en
Kulhuse - Sølager,ferrycompany.php?Rid=246&lang=en
La Méridionale,ferrycompany.php?Rid=299&lang=en
Langelandslinjen,ferrycompany.php?Rid=345&lang=en
Laziomar,ferrycompany.php?Rid=308&lang=en
Levante Ferries,ferrycompany.php?Rid=330&lang=en
Lineas Fred. Olsen,ferrycompany.php?Rid=50&lang=en
Lolland Færgefart,ferrycompany.php?Rid=262&lang=en
Maddalena Lines,ferrycompany.php?Rid=327&lang=en
Marine Atlantic,ferrycompany.php?Rid=156&lang=en
Medmar,ferrycompany.php?Rid=239&lang=en
Minoan Lines,ferrycompany.php?Rid=56&lang=en
Moby Lines,ferrycompany.php?Rid=57&lang=en
Molslinjen,ferrycompany.php?Rid=331&lang=en
Mors-Thy Færgefart,ferrycompany.php?Rid=265&lang=en
Namma Shipping Lines,ferrycompany.php?Rid=302&lang=en
Naviera Armas,ferrycompany.php?Rid=169&lang=en
Nordö Link,ferrycompany.php?Rid=61&lang=en
Norled,ferrycompany.php?Rid=319&lang=en
NorthLink Ferries,ferrycompany.php?Rid=64&lang=en
